"ACO
ID",ACO Name,State,"ACO
Type1","Risk
Arrangement2",Gross Savings (Loss)3,"Net Savings
(Loss)4",Gross Savings Rate5,Net Savings Rate6,"Total Bene-
ficiaries7",Total Eligible Months8,High Performers Pool Payout9,Pre-discount Benchmark10,Final Benchmark11,Total Cost of Care12,Total Quality Score13,Quality-A14,Quality-B15,Quality-C16,Quality-D17,Quality-E18,Quality-F19,Quality-G20,Quality-H21,Quality-I22,Quality-J23,Quality-K24,Quality-L25,Quality-M26,Quality-N27,Quality-O28
D0004,"Iora Health NE DCE, LLC (DBA Iora Health Network)",CA,New Entrant,Global," $ 44,198,894.16 "," $ 37,040,727.47 ",20.8%,17%,"15,126","159,124",," $ 212,164,213.06 "," $ 205,761,979.58 "," $ 167,965,318.90 ",80.5%,15.83,28.25,,74.15,77.25,91.29,83.08,62.36,87.55,90.26,63.82,29.39,Yes,No,10.00
D0005,"ilumed, LLC",FL,Standard,Global," $ 49,018,271.54 "," $ 24,740,622.05 ",6.3%,3.2%,"58,032","645,308",," $ 783,708,450.58 "," $ 759,935,711.74 "," $ 734,690,179.05 ",39.0%,16.36,31.95,,75.26,86.69,95.46,87.98,67.85,93.64,91.93,63.48,22.16,No,No,4.95
D0006,"Arizona Health Advantage, Inc",AZ,Standard,Professional," $ (126,506.12)"," $ (63,253.06)",-0.3%,-0.1%,"3,908","45,018"," $ 422,086.34 "," $ 46,092,975.55 "," $ 46,092,975.55 "," $ 46,219,481.67 ",100.0%,14.76,28.01,,77.22,84.87,93.70,85.56,66.08,93.36,92.46,60.69,26.70,Yes,Yes,7.23
D0008,"Genuine Health Direct, LLC",FL,Standard,Global," $ 23,454,383.12 "," $ 14,409,374.31 ",8.1%,5.0%,"18,472","208,830",," $ 290,141,921.98 "," $ 281,390,982.03 "," $ 266,687,538.85 ",74.1%,15.61,28.48,,71.65,82.01,92.14,84.25,63.64,90.77,88.04,63.07,25.51,Yes,No,5.26
D0010,"Primary care alliance, LLC",FL,Standard,Global," $ 19,070,591.01 "," $ 14,260,310.03 ",12.6%,9.5%,"10,343","116,363"," $ 1,091,013.22 "," $ 150,834,452.70 "," $ 146,315,198.46 "," $ 131,763,861.69 ",99.1%,14.64,28.25,,78.03,76.01,90.81,81.87,60.77,88.93,88.27,58.86,16.79,Yes,Yes,6.25
D0011,Renovis Choice Company,MI,Standard,Global," $ 5,779,013.37 "," $ 3,157,645.11 ",6.8%,3.7%,"3,770","40,714",," $ 84,689,384.39 "," $ 82,132,457.88 "," $ 78,910,371.03 ",43.7%,15.37,39.08,,56.57,87.48,93.74,85.31,66.14,91.79,92.77,66.46,25.25,Yes,No,1.01
D0012,"Temple Care, Inc",PA,Standard,Professional," $ (2,825,762.21)"," $ (1,412,881.10)",-3.5%,-1.8%,"6,220","70,819",," $ 80,502,681.22 "," $ 80,502,681.22 "," $ 83,328,443.43 ",20.8%,15.57,41.27,,65.55,81.50,95.10,86.75,61.61,93.89,90.90,71.44,26.47,No,No,9.57
D0015,"Rancho Health Management, LLC",CA,Standard,Global," $ 16,609,825.16 "," $ 9,545,137.02 ",7.3%,4.2%,"17,557","199,140",," $ 228,615,204.88 "," $ 221,745,315.44 "," $ 212,005,379.72 ",99.6%,15.30,28.50,,73.50,80.66,95.16,87.26,60.26,93.48,91.58,61.22,25.95,Yes,No,9.63
D0019,CareMount Value Partners IPA,NY,Standard,Global," $ 34,965,842.12 "," $ 12,728,222.11 ",4.8%,1.7%,"46,854","546,414",," $ 729,512,115.32 "," $ 707,534,254.93 "," $ 694,546,273.19 ",95.3%,15.14,33.75,,74.19,74.31,93.30,85.58,59.91,93.52,89.52,62.09,18.42,Yes,No,8.63
D0020,Collaborative Care Partners LLC,OH,Standard,Global," $ 4,384,654.34 "," $ 1,425,384.46 ",4.5%,1.5%,"8,031","90,605",," $ 98,231,171.42 "," $ 95,300,991.02 "," $ 93,846,517.08 ",80.0%,14.89,33.18,,61.75,80.06,93.38,82.95,60.11,92.00,91.76,68.62,31.65,Yes,No,10.00
D0025,"VillageMD Primary Providers ACO II, LLC",NJ,Standard,Global," $ 53,196,814.94 "," $ 41,111,355.65 ",14.3%,11.0%,"23,252","270,429",," $ 373,138,504.50 "," $ 361,892,052.47 "," $ 319,941,689.56 ",82.1%,15.57,29.41,,75.75,79.65,94.77,85.12,64.81,93.26,90.06,65.76,30.82,Yes,No,10.00
D0027,"On Belay Health Solutions, LLC",MA,Standard,Global," $ 348,013.60 "," $ (2,757,027.27)",0.3%,-2.7%,"8,310","90,462",," $ 102,518,875.02 "," $ 99,413,834.15 "," $ 102,170,861.42 ",54.3%,15.74,38.57,,72.09,81.66,93.50,84.73,64.21,92.34,90.83,64.56,24.64,Yes,No,10.00
D0032,"Best Value Transportation, LLC, d/b/a MAX Healthcare #2",FL,New Entrant,Professional," $ 3,303,601.90 "," $ 1,251,771.56 ",11.6%,4.4%,"1,992","21,927",," $ 28,428,277.32 "," $ 28,428,277.32 "," $ 25,124,675.41 ",75.7%,15.54,29.66,,79.43,78.96,91.80,83.60,61.04,90.22,90.31,61.29,27.90,Yes,No,4.33
D0033,"agilon health Texas ACO, Inc.",TX,Standard,Global," $ 15,616,539.93 "," $ 12,154,381.01 ",14.6%,11.4%,"7,904","90,648"," $ 849,910.77 "," $ 106,803,813.14 "," $ 103,589,702.81 "," $ 91,187,273.21 ",100.0%,15.09,29.72,,78.81,83.43,94.28,86.90,65.80,92.77,91.82,65.50,25.54,Yes,Yes,6.92
D0034,"Indiana University Health ACO, Inc.",IN,Standard,Professional," $ 30,312,377.64 "," $ 14,559,257.53 ",5.4%,2.6%,"45,408","524,270",," $ 566,273,739.71 "," $ 566,273,739.71 "," $ 535,961,362.07 ",93.2%,15.04,36.26,,70.81,78.05,94.78,86.91,58.65,93.29,91.63,61.97,23.57,Yes,No,10.00
D0036,Complete Health Accountable Care LLC,FL,Standard,Global," $ 24,754,220.87 "," $ 20,486,268.90 ",19.3%,15.9%,"8,539","98,182"," $ 920,549.15 "," $ 128,562,792.47 "," $ 124,712,927.62 "," $ 103,808,571.60 ",100.0%,15.09,28.95,,73.53,79.79,93.66,84.13,63.26,91.91,89.97,58.10,30.52,Yes,Yes,9.99
D0042,"Revere Health Collaborative Network, LLC",UT,Standard,Global," $ 2,467,770.86 "," $ (3,057,734.12)",1.3%,-1.7%,"14,585","168,783"," $ 1,582,500.32 "," $ 183,688,631.32 "," $ 178,163,126.34 "," $ 181,220,860.46 ",100.0%,13.88,26.20,,73.53,85.29,93.97,85.17,64.45,92.05,94.37,60.15,26.73,Yes,Yes,10.00
D0045,"CareAllies Accountable Care Solutions, LLC",TX,Standard,Global," $ 5,398,039.39 "," $ 2,905,232.06 ",6.6%,3.6%,"5,539","63,245",," $ 81,425,563.50 "," $ 78,992,046.62 "," $ 76,027,524.11 ",100.0%,15.13,30.86,,71.68,79.52,93.09,85.86,66.07,93.30,92.14,58.68,29.16,Yes,No,10.00
D0048,"Pathways Accountable Care, LLC d/b/a Pathways Health Partners",FL,Standard,Global," $ 25,167,660.10 "," $ 17,405,873.29 ",10.2%,7.1%,"15,176","169,970",," $ 246,061,629.24 "," $ 238,655,064.32 "," $ 220,893,969.14 ",73.2%,15.89,31.69,,77.83,82.66,93.08,85.06,60.16,91.91,89.91,63.87,26.64,Yes,No,3.06
D0052,Bluerock Care Community LLC (DBA: Penn Ave Health),DC,Standard,Global," $ 5,321,192.29 "," $ 2,631,663.62 ",6.1%,3.0%,"8,488","94,308",," $ 87,272,005.99 "," $ 84,636,184.74 "," $ 81,950,813.70 ",94.8%,15.45,28.96,,71.55,83.80,93.94,85.64,63.33,93.33,93.04,63.62,22.73,Yes,No,9.26
