Entity ID,mbrs,mmos,TCOC,PMPM,MBRS 150k,MBRS 200k,MBRS 250k,MBRS 300k,MBRS 350k,MBRS 400k,MBRS 450k,MBRS 500k,MBRS 1m,ТСОС 150k,ТСОС 200k,ТСОС 250k,ТСОС 300k,ТСОС 350k,ТСОС 400k,ТСОС 450k,ТСОС 500k,TCOC 1M,Cost Over 150K,Cost Over 200K,Cost Over 250K,Cost Over 300K,Cost over 350K,Cost over 400K,Cost over 450K,Cost over 500K,Cost Over 1M
C0194,,,,,47,18,8,4,2,1,1,1,0,,,,,,,,,,"$2,772,983.00","$1,147,976.00","$597,068.00","$297,487.00","$186,396.00","$112,298.00","$62,298.00","$12,298.00",$0.00
C0064,,,,,320,178,98,61,35,19,10,7,1,,,,,,,,,,"$28,773,912.00","$16,527,862.00","$9,742,721.00","$5,355,493.00","$3,094,459.00","$2,086,915.00","$1,330,843.00","$875,540.00",-
C0073,,,,,123,68,34,20,12,10,9,8,2,,,,,,,,,,"$13,532,399.00","$8,301,715.00","$6,388,629.00","$4,857,659.00","$4,250,363.00","$3,650,363.00","$3,162,083.00","$2,755,068.00","$435,297.00"
C0190,,,,,156,66,34,21,9,3,2,2,0,,,,,,,,,,"$10,583,548.00","$5,149,705.00","$2,788,501.00","$1,530,918.00","$750,329.00","$414,257.00","$284,683.00","$184,683.00",-
C0083,,,,,60,28,16,7,4,1,0,0,0,,,,,,,,,,"$4,209,197.00","$2,054,558.00","$917,652.00","$387,445.00","$157,097.00","$6,339.00",$0.00,$0.00,-
C0215,,,,,76,43,20,12,8,4,3,2,0,,,,,,,,,,"$6,747,535.00","$3,830,564.00","$2,377,585.00","$1,600,860.00","$1,103,085.00","$809,986.00","$613,353.00","$476,240.00",-
C0212,,,,,338,199,120,72,43,24,11,7,0,,,,,,,,,,"$31,972,913.00","$18,914,936.00","$11,200,400.00","$6,568,782.00","$3,779,924.00","$2,117,904.00","$1,243,371.00","$838,091.00",-
C0002,,,,,148,93,55,35,26,17,11,7,1,,,,,,,,,,"$17,548,047.00","$11,662,889.00","$8,012,752.00","$5,598,258.00","$4,366,195.00","$3,310,949.00","$2,615,261.00","$2,181,957.00","$632,272.00"
C0232,,,,,54,28,21,17,13,10,8,4,1,,,,,,,,,,"$6,955,744.00","$5,024,917.00","$3,914,813.00","$2,937,319.00","$2,255,960.00","$1,675,724.00","$1,217,540.00","$925,905.00",$767.00
C0193,,,,,61,31,10,7,6,4,2,1,0,,,,,,,,,,"$4,286,399.00","$2,201,669.00","$1,246,203.00","$855,382.00","$557,015.00","$316,688.00","$171,508.00","$109,662.00",-
