Entity ID,NPI Name,Category,Latitude,Longitude
D0008,BIOREFERENCE HEALTH LLC,Diagnostics,40.9001838,-74.1088089
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,34.0093609,-81.1332838
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,32.8504317,-80.0197715
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,34.2162678,-79.7971093
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,34.1971596,-79.7552812
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,33.7571416,-78.8513527
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,33.4335251,-79.139367
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,33.8406164,-84.239487
D0008,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,Diagnostics,33.8321236,-84.255123
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,33.2387137,-84.2674591
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,33.0430228,-85.0338678
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,33.0435313,-84.9846388
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,34.3187821,-83.7972938
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,31.3112061,-82.2406309
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,31.576016,-84.1054312
D0008,LABORATORY CORPORATION OF AMERICA HOLDINGS,Diagnostics,32.8772018,-85.1593646
D0008,LABORATORY CORPORATION OF AMERICA,Diagnostics,28.8448295,-82.0244717
D0008,LABORATORY CORPORATION OF AMERICA,Diagnostics,30.5007207,-84.2554623
D0008,FLORIDA CLINICAL LABORATORY INC,Diagnostics,28.0848973,-80.6199003
D0008,MED-CARE INFUSION SERVICES INC,Diagnostics,25.8955668,-80.3458968
D0008,LABORATORY CORPORATION OF AMERICA,Diagnostics,26.0455026,-80.1670401
D0008,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,Diagnostics,25.9723516,-80.2831598
D0008,LABORATORY CORPORATION OF AMERICA,Diagnostics,27.9547902,-82.539387
D0008,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,Diagnostics,28.0535637,-82.4123174
D0008,UNILAB CORPORATION,Diagnostics,34.2226042,-118.6255225
D0008,UNILAB CORPORATION,Diagnostics,38.6350481,-121.4746499
D0008,DANIELLE NEUMAN,Primary Care,25.9856306,-80.1279605
D0008,MICHELLE WEINER,Primary Care,26.0122514,-80.1462277
D0008,SANDEE BRISTOW,Primary Care,25.7406899,-80.2128287
D0008,HUMBERTO MACHADO,Primary Care,25.7648922,-80.2583114
D0008,PAOLO MIMBELLA,Primary Care,25.6874338,-80.3353234
D0008,ADAM NASSERY,Specialty,25.9697624,-80.1467262
D0008,CHRISTIAN GONZALEZ,Specialty,25.9697624,-80.1467262
D0008,JOSEPHINE CLINGAN,Specialty,25.9697624,-80.1467262
D0008,MARIA DE LA PENA,Specialty,26.1869493,-80.1170463
D0008,RICHARD SEIDELMAN,Primary Care,26.4385746,-80.1195775
D0008,WILLIAM SHAPSE,Primary Care,26.4385746,-80.1195775
D0008,ZACHARY MIRSKY,Specialty,26.4380489,-80.1183879
D0008,JEFFREY CARA,Primary Care,26.9338048,-80.0964967
D0008,BRUCE MANN,Specialty,26.5892949,-80.094916
D0008,QUEST DIAGNOSTICS INCORPORATED,Diagnostics,36.112043,-115.1230984
D0008,RAMON LEON,Primary Care,25.7053911,-80.2936699
D0008,ELENA VALOR,Primary Care,25.7012042,-80.3432036
D0008,CARLOS NAVARRO,Primary Care,25.7458033,-80.3529582
D0008,FELIX CHION FONG,Primary Care,25.7458033,-80.3529582
D0008,ROLANDO PADRO,Primary Care,25.6239423,-80.4133917
D0008,LOUIS TUMMINIA,Primary Care,26.4383125,-80.1237464
D0008,IVAN CASTANO,Primary Care,25.8600931,-80.3074431
D0008,ERICA O DONNELL,Primary Care,29.2611085,-81.0846496
D0008,CINDY MARIKA,Primary Care,26.0980793,-80.3851751
D0008,OLGA LOPEZ,Primary Care,25.7755406,-80.2636781
D0008,STEVEN MORRIS,Primary Care,26.3762551,-80.1209258
D0008,ISRAEL CABRERA,Primary Care,25.747128,-80.262399
D0008,CARLOS HARO,Primary Care,26.0122763,-80.3098141
D0008,GIANETTE RUVALCABA,Primary Care,26.0122763,-80.3098141
D0008,KULBIR PANNU,Primary Care,26.0122763,-80.3098141
D0008,MARCOS ZARAGOZA,Primary Care,26.0122763,-80.3098141
D0008,SLAVISA MARKOVIC,Primary Care,26.0122763,-80.3098141
D0008,MARCO NOVA,Primary Care,25.925598,-80.300699
D0008,AJIT SINGH,Primary Care,26.3167832,-80.1963113
D0008,JOHN YEE,Primary Care,27.2685433,-82.4902362
D0008,NOAH BIGMAN,Primary Care,27.2685433,-82.4902362
D0008,PRISCILLA LUONG,Primary Care,27.2685433,-82.4902362
D0008,VERONICA DILLON,Primary Care,27.2685433,-82.4902362
D0008,CARLOS LAROCCA,Primary Care,25.6699903,-80.443808
D0008,DAVID YUNIOR VELASCO PENA,Primary Care,25.6699903,-80.443808
D0008,JORGE BARCENAS,Primary Care,25.6699903,-80.443808
D0008,JUAN OROZCO,Primary Care,25.6699903,-80.443808
D0008,LIANNELYS GARCIA,Primary Care,25.6699903,-80.443808
D0008,JONATHAN YOUSEF,Primary Care,28.24113,-82.326988
D0008,RICHARD MARQUES,Primary Care,26.3475274,-80.0864288
D0008,MARAY ROCHER,Primary Care,25.86716,-80.280717
D0008,EDUARDO REYES,Primary Care,25.8813371,-80.3268612
D0008,JOSE COBIELLA,Primary Care,25.4796786,-80.4777988
D0008,JORGE ACOSTA,Primary Care,25.760491,-80.3282049
D0008,EDUARDO MENDEZ,Primary Care,26.0073461,-80.2739131
D0008,MERCEDES VAZQUEZ,Primary Care,25.4796786,-80.4777988
D0008,AMIEL LEVIN,Primary Care,25.8142127,-80.1396941
D0008,ARAM SARKISYAN,Primary Care,25.9856306,-80.1279605
D0008,DAVID NEUMAN,Primary Care,25.9856306,-80.1279605
D0008,SIMON WONG,Primary Care,26.2707383,-80.2564634
D0008,DAYNA CLARKE-CAMERON,Primary Care,25.9425779,-80.2110759
D0008,RAMON SANCHEZ,Primary Care,28.1357467,-82.5127543
D0008,ADAM ROSEN,Primary Care,25.7532748,-80.2624101
D0008,ADRYANNA RUIZ,Primary Care,25.7055302,-80.2936932
D0008,ALEJANDRO ROCA,Primary Care,25.7040934,-80.3019321
D0008,ALFONSO MONGE,Primary Care,25.686061,-80.3351012
D0008,ALXEANDRA DORMOY,Primary Care,25.705453,-80.2915148
D0008,BARBARA MARTINEZ,Primary Care,26.0091574,-80.3857437
D0008,DIEGO SAAVEDRA,Primary Care,25.686061,-80.3351012
D0008,DOMINIC MAGGIO,Primary Care,25.7886402,-80.2166939
D0008,EDGARDO REYES AYALA,Primary Care,25.7243392,-80.2744093
D0008,ERIC SMITH,Primary Care,25.6875695,-80.3565607
D0008,FARAH HORTA BONNIN,Primary Care,25.7040934,-80.3019321
D0008,FRANK ARANDA,Primary Care,25.8121894,-80.3577318
D0008,GAIELLE MAHER,Primary Care,25.9814069,-80.3564035
D0008,GUILLERMO LOPEZ,Primary Care,25.6768035,-80.3685259
D0008,HERNANDO CHONG,Primary Care,25.686061,-80.3351012
D0008,IVAN CARRASQUILLA,Primary Care,25.7532748,-80.2624101
D0008,JAIME ALAYO VILLALOBOS,Primary Care,25.6022681,-80.3490406
D0008,JEFFREY ROSEN,Primary Care,25.7532748,-80.2624101
D0008,JENNI GOLLETTI,Primary Care,25.6875695,-80.3565607
D0008,JENNIFER GUERRERO,Primary Care,25.6875695,-80.3565607
D0008,JENNIFER HUYNH,Primary Care,25.7026934,-80.3506384
D0008,JENNIFER MOKROSS,Primary Care,25.7532748,-80.2624101
D0008,JENNIFER PROVINCE,Primary Care,25.7040934,-80.3019321
D0008,JENNY MONTES DE OCA PINEDA,Primary Care,25.7532748,-80.2624101
D0008,JESUS RODRIGUEZ,Primary Care,25.6875695,-80.3565607
D0008,JORGE PEREIRA,Primary Care,25.7323047,-80.3382824
D0008,JULIO JORGE,Primary Care,25.7594325,-80.4324139
D0008,KAREN RABEN,Primary Care,25.7055302,-80.2936932
D0008,KYRA GOODMAN,Primary Care,25.686061,-80.3351012
D0008,LEONARDO RODRIGUEZ,Primary Care,25.7886402,-80.2166939
D0008,LESTER SHALLOWAY,Primary Care,25.6875695,-80.3565607
D0008,LEUNAM RODRIGUEZ,Primary Care,25.7243392,-80.2744093
D0008,LIANET IBARRA,Primary Care,26.0091574,-80.3857437
D0008,LILIAM PALACIOS,Primary Care,25.686061,-80.3351012
D0008,MANUEL GONZALEZ,Primary Care,25.6858044,-80.3352582
D0008,MARIA SORENSEN,Primary Care,25.6875695,-80.3565607
D0008,MARK KUTNER,Primary Care,25.6875695,-80.3565607
D0008,MARTIN HIRIART,Primary Care,25.6768035,-80.3685259
D0008,NATASHA FAJARDO,Primary Care,25.705453,-80.2915148
D0008,NESTOR GUATY,Primary Care,25.7323047,-80.3382824
D0008,RAFAEL MESTRE,Primary Care,25.8127293,-80.3520677
D0008,RIGOBERTO FRANCO,Primary Care,25.6022681,-80.3490406
D0008,ROBERT GUTIERREZ,Primary Care,25.7476846,-80.3261306
D0008,ROBERT TOMCHIK,Primary Care,25.9814069,-80.3564035
D0008,ROCIO PESTANA,Primary Care,25.705453,-80.2915148
D0008,SHENASI ARANDA,Primary Care,25.8127293,-80.3520677
D0008,SILVIA ROBALINO,Primary Care,25.7413912,-80.2143364
D0008,VERONICA CONEJO,Primary Care,25.6768035,-80.3685259
D0008,WILFREDO GONZALEZ,Primary Care,25.826561,-80.3569756
D0008,ADOLFO MARTINEZ,Primary Care,25.7608442,-80.3331912
D0008,JOSEFINA HERNANDEZ,Primary Care,25.7608442,-80.3331912
D0008,PATRICIA VANDIEPEN,Primary Care,29.276047,-81.0580219
D0008,CARLOS CORRALES,Primary Care,26.2659382,-80.200413
D0008,WENTWORTH JARRETT,Primary Care,25.646374,-80.4033995
D0008,VIRGILIO DEL PINO,Primary Care,25.7753885,-80.2635744
D0008,VENKATA BIREDDY,Primary Care,27.9397702,-82.4931224
D0008,JOSEPH ARENA,Primary Care,26.2763025,-80.1223405
D0008,CARLOS RIVEROS,Primary Care,25.7427254,-80.2538402
D0008,GENE NEYTMAN,Primary Care,25.8135318,-80.1271143
D0008,ALINA ALVAREZ,Primary Care,25.0058026,-80.5201337
D0008,MIGUEL DIAZ,Primary Care,25.0058026,-80.5201337
D0008,NIKOLE CZAPP,Primary Care,25.0058026,-80.5201337
D0008,STACEY SHELDON,Primary Care,25.0058026,-80.5201337
D0008,SAMANTHA LINDSAY,Primary Care,28.1898644,-82.5411561
D0008,JAMES PRINE,Primary Care,26.2566977,-80.2354675
D0008,AUDREY ROBERSON,Primary Care,33.6600998,-84.5144359
D0008,JOEL ISOM,Primary Care,33.7623859,-84.3714903
D0008,NAKATO KIBUYAGA-TRAVIS,Primary Care,33.7623859,-84.3714903
D0008,NATASHA WILLIAMSON,Primary Care,33.3865788,-84.7866002
D0008,ENRIQUE FERNANDEZ,Primary Care,25.7311744,-80.3847714
D0008,RICARDO DOMINGUEZ,Primary Care,25.8456007,-80.2672395
D0008,ALBERT HUMPHREY,Primary Care,34.0398729,-81.0395681
D0008,GREGORY SINGLETON,Primary Care,33.4939278,-80.8695971
D0008,STEVEN FIELDS,Primary Care,25.885895,-80.3254045
D0008,JORGE PEREZ,Primary Care,25.7716953,-80.2536727
D0008,JUAN PEREZ-ESPINOSA,Primary Care,25.7716953,-80.2536727
D0008,RENATO SEGURA,Primary Care,26.0323054,-80.1835608
D0008,JUAN CAMAYD,Primary Care,25.6863111,-80.3754617
D0008,ELEANOR DAVINA,Primary Care,28.8145826,-81.6814459
D0008,ROBERT MARTELLO,Primary Care,28.8145826,-81.6814459
D0008,SHIRLEY NAGEL,Primary Care,28.8145826,-81.6814459
D0008,CARLOS DOMINGUEZ,Primary Care,28.9151276,-81.2204854
D0008,GOSSIE HEATH MATHIS,Primary Care,33.4751634,-80.4864764
D0008,ANDREA MCINTOSH,Primary Care,28.9152661,-81.3023313
D0008,DENISE JOSEPH-EXINORD,Primary Care,28.9152661,-81.3023313
D0008,RADHIKA BAWA,Primary Care,28.9152661,-81.3023313
D0008,SHAZIA AHMED,Primary Care,28.9152661,-81.3023313
D0008,SYED AHMED,Primary Care,28.9152661,-81.3023313
D0008,AURELIO MITJANS,Diagnostics,25.8457537,-80.2671207
D0008,JOSE ORCASITA NG,Primary Care,25.8873245,-80.3081715
D0008,SCOTT HALPERIN,Primary Care,25.8859829,-80.3252184
D0008,BARBARA SCHERER,Primary Care,26.1895513,-80.1194131
D0008,BRIAN ZALIS,Primary Care,26.0095201,-80.3874822
D0008,RICHARD KOBY,Primary Care,26.0095201,-80.3874822
D0008,ANTONIO MORA,Primary Care,25.8679606,-80.3113271
D0008,JOSE HERNANDEZ,Primary Care,25.6978689,-80.4373749
D0008,JULIO ROSALES,Primary Care,25.6978689,-80.4373749
D0008,ROSA ESPINOSA,Primary Care,25.6978689,-80.4373749
D0008,JOHN HYLTON,Primary Care,26.0494767,-80.3123447
D0008,SHEKHAR SHARMA,Primary Care,26.6286279,-80.2053465
D0008,ARIANE CLERVEAU BEAUBOEUF,Primary Care,25.9248662,-80.1741862
D0008,BRENDA NGUYEN,Primary Care,25.8911633,-80.1807926
D0008,EUFEMIA CANDO,Primary Care,25.7876349,-80.2398618
D0008,GILBERT LEUNG,Primary Care,25.8911633,-80.1807926
D0008,HIN CHRISTINE LEE,Primary Care,25.8911633,-80.1807926
D0008,JEAN-BAPTISTE PIERRE,Primary Care,25.8911633,-80.1807926
D0008,LI KRUSZKA,Primary Care,25.9248662,-80.1741862
D0008,MARIA MUSTELIER,Primary Care,25.9248662,-80.1741862
D0008,NANCY BOULOUTE,Primary Care,25.8911633,-80.1807926
D0008,NASIRUDDIN NAZARALLY,Primary Care,25.8911633,-80.1807926
D0008,SHEREN LEUNG,Primary Care,25.8911633,-80.1807926
D0008,WINNIE WONG,Primary Care,26.0044071,-80.1430546
D0008,VICENTE FRANCO,Primary Care,25.7541503,-80.287857
D0008,JEANNETTE DE LA TORRE,Primary Care,25.8833665,-80.3262779
D0008,JULIAN MARQUEZ,Primary Care,25.8833665,-80.3262779
D0008,LUZ LUQUE,Primary Care,25.8833665,-80.3262779
D0008,PAUL SCHWARTZ,Primary Care,26.4375788,-80.1431041
D0008,RAMIRO CORO,Primary Care,25.8669959,-80.289445
D0008,BARRY STREIT,Primary Care,26.2060617,-80.2516984
D0008,CHARLES LIEBER,Primary Care,26.2060617,-80.2516984
D0008,DOUGLAS WEINER,Primary Care,26.2668429,-80.249208
D0008,KEVIN BENDER,Primary Care,26.2176157,-80.2533461
D0008,LAURA ZITON,Primary Care,26.2668429,-80.249208
D0008,LESLIE HURWITZ,Primary Care,26.2175298,-80.2533633
D0008,MYRA CHOUDHRY-AKHTER,Primary Care,26.2060617,-80.2516984
D0008,JORGE TRAVIESO,Primary Care,25.8705526,-80.3304216
D0008,BEHNAM BIRGANI,Primary Care,26.1848375,-80.1174233
D0008,CARMEN CABEZA ROMERO,Primary Care,25.9110906,-80.2959318
D0008,JOSE TORRES,Primary Care,26.0288142,-80.2481206
D0008,CARLOS DELGADO,Primary Care,25.8778167,-80.3226609
D0008,ALEXANDRA SANTINI,Primary Care,26.4385515,-80.1195357
D0008,ALEXANDRA SPERLING,Primary Care,26.4385515,-80.1195357
